velocity,thrust_coeff
5.16492611319923,0.867198569974093
5.43458101662781,0.849301193855649
5.8002773925104,0.820933521923621
6.02219140083218,0.802263083451202
6.31067961165049,0.786987270155587
6.51040221914008,0.775106082036775
6.64802808205641,0.764601151161775
6.95423023578363,0.753041018387553
7.42022166914734,0.753422393221127
7.68987657257592,0.753422393221127
7.83696106535515,0.753507618821691
8.10818307905687,0.751343705799151
8.5478694471214,0.751717881209847
8.81752435054998,0.751632655609283
8.9646088433292,0.752570137215487
9.30651872399445,0.751343705799151
9.70003130722532,0.751803106810411
9.9696862106539,0.750439497201387
10.1167707034331,0.745070284365853
10.4382801664355,0.727581329561528
10.8521931673293,0.707741471318813
11.1218480707578,0.694020149628005
11.5478502080444,0.676661951909477
11.9798409453033,0.659844683801834
12.2494958487319,0.648850581329075
12.4576976421637,0.634229137199434
12.5242718446602,0.613861386138614
12.6172070806799,0.587104633720443
12.7275204502644,0.565355060456505
13.0094323947579,0.501726844583987
13.1540654793241,0.47741928579455
13.3453536754508,0.444130127298444
13.6590555711995,0.412826803127079
13.9041963924982,0.390139748256937
14.2330097087379,0.357567185289957
14.6028477331995,0.326612585596517
14.8725026366281,0.307010697466792
15.0195871294073,0.297891558206442
15.2981969486824,0.277793493635078
15.7550095933034,0.254682178720484
16.024664496732,0.241983564236445
16.49653259362,0.221782178217822
16.8826573712775,0.206274037600121
17.152312274706,0.196217416733567
17.6061026352288,0.181046676096181
18.0103051492515,0.170649736564361
18.2799600526801,0.163746462918675
18.4270445454593,0.161019243700626
18.6934812760055,0.152192362093352
19.1624670093554,0.142780965179926
19.432121912784,0.136133368335933
19.5792064055632,0.1328947955145
